Method,Avg_Coverage,Std_Coverage,Avg_Width,Std_Width,Avg_Winkler,Std_Winkler,Coverage_MAE
Conformal,0.7889333333333333,0.20965531803641993,196.15339999999998,300.03238052412183,245.83393333333333,320.2439509013774,0.17653333333333332
Parametric,0.8472666666666666,0.2063268788897388,215.70946585164867,281.49145026853296,267.91439999999994,313.25144993206794,0.16166666666666665
Bootstrap,0.7278666666666667,0.23296102269529573,181.59926666666667,242.47206630410224,252.68493333333333,294.2835452306079,0.20000000000000004
